2.4182365663,2.6558710315,4.6679317432,8.5094396521,57.1050585242,155.4571568049,529.7100956746,865.3910479348,1089.0191450849,1186.5587031111
3.223269022442857,3.5461840510285714,6.511836896414286,56.41094119587143,62.45563007934286,145.55065726565715,154.56538485322858,173.4789338974,198.21808944501427,242.67464821522856
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Throughput,,,,,,,,,,,
CoAP,,0.003,0.0025,0.002,0.0015,0.001,0.0005,,,,
,Delay,1.4826590698,1.8668332259,2.7152879637,3.4132081463,81.5655610755,1186.5587031111,,,,
,Std dev,1.636363395717561,4.662463385296055,24.759965382827996,10.35133770859484,97.3839209934541,1960.6428109474184,,,,
,,,,,,,,,,,
MQTT,,0.00011,0.00009,0.00007,0.00005,0.00003,0.00001,,,,
,Delay,2.350565264671429,2.3563920405857144,2.754502051457143,3.0789744475857144,10.884077170271429,198.91106876111428,,,,
,Std dev,0.5400715873011152,0.6095290941323904,0.7420440380571626,1.2482743486681112,14.6485658347149,132.0602977472602,,,,
,,,,,,,,,,,
CoAP,,0.005,0.0025,0.001666667,0.00125,0.001,0.000833333,0.000714286,0.000625,0.000555556,0.0005
,Delay,2.4182365663,2.6558710315,4.6679317432,8.5094396521,57.1050585242,155.4571568049,529.7100956746,865.3910479348,1089.0191450849,1186.5587031111
,Std dev,0.6898753625138611,2.812529021044999,11.621968335289427,41.53912874084255,96.69332548615358,150.8688211293522,797.8179548622377,1480.354277421894,1787.5160314388515,1960.6428109474184
,,,,,,,,,,,
MQTT,,0.0001,0.00005,0.000033333,0.000025,0.00002,0.000016667,0.000014286,0.0000125,0.000011111,0.00001
,Delay,3.223269022442857,3.5461840510285714,6.511836896414286,56.41094119587143,62.45563007934286,145.55065726565715,154.56538485322858,173.4789338974,198.21808944501427,242.67464821522856
,Std dev,0.6019587478439323,0.747112705907733,4.754177006347177,42.73559414797177,30.06961362720265,125.30715982536869,94.99003803510884,125.1321064604468,147.34116729155733,165.7116300337458
